date,rain_era5land
2022-06-01,0.0
2022-06-02,0.007310509676727861
2022-06-03,0.31974315642813167
2022-06-04,1.1752387323440416
2022-06-05,2.1702080964587367
2022-06-06,0.06299018849631466
2022-06-07,0.0004351138045421976
2022-06-08,0.7122188806079066
2022-06-09,0.001965021056093974
2022-06-10,0.0008631237733425223
2022-06-11,0.0021418790083771455
2022-06-12,0.06892383032663929
2022-06-13,0.7682234048793646
2022-06-14,0.012403726486809319
2022-06-15,0.08547604079467419
2022-06-16,0.0
2022-06-17,0.0008702277796146518
2022-06-18,0.0017264482039536233
2022-06-19,0.05290550768677349
2022-06-20,0.6051510572433472
2022-06-21,2.71451473236084
2022-06-22,14.781767129893097
2022-06-23,10.686063766474518
2022-06-24,18.91065014638116
2022-06-25,4.4478386640207646
2022-06-26,23.93230795848922
2022-06-27,1.0328382253597113
2022-06-28,0.05954802031737927
2022-06-29,0.0008553265615773853
2022-06-30,7.242381572723389
2022-07-01,0.8439946929570397
2022-07-02,0.0
2022-07-03,3.8339674471785656
2022-07-04,1.6195267438838812
2022-07-05,0.0025535638883411593
2022-07-06,0.0004351138045421976
2022-07-07,0.0004425709789757093
2022-07-08,0.0012889569021012903
2022-07-09,0.003011132434949104
2022-07-10,0.0012856564239882573
2022-07-11,0.0
2022-07-12,0.0012814998058274796
2022-07-13,0.0017169590478260943
2022-07-14,0.0008583068833445395
2022-07-15,0.0004395939718904174
2022-07-16,0.0008553266184208042
2022-07-17,0.0017225742112714215
2022-07-18,0.0
2022-07-19,0.0008642672355563263
2022-07-20,0.2655866078953295
2022-07-21,0.0025796561544666474
2022-07-22,4.0883928028279115
2022-07-23,0.0017725865859574697
2022-07-24,0.0008520459005012526
2022-07-25,0.21942853927470196
2022-07-26,0.0008581418455833045
2022-07-27,0.0012755393754559918
2022-07-28,0.037437677178786544
2022-07-29,5.237704514001962
2022-07-30,0.0025605716587051575
2022-07-31,0.0008583068797918258
2022-08-01,0.0017195216628351773
2022-08-02,0.0012814998058274796
2022-08-03,0.0004410743663640915
2022-08-04,0.021312647049853695
2022-08-05,8.967524766887891
2022-08-06,0.0008553266184208042
2022-08-07,0.0008375542961402971
2022-08-08,0.0
2022-08-09,0.0021447997369250515
2022-08-10,0.005805492396149248
2022-08-11,0.20139813422659358
2022-08-12,0.25589267347569944
2022-08-13,0.24846979791348645
2022-08-14,20.711821317604517
2022-08-15,0.010382740885717112
2022-08-16,3.335526585487969
2022-08-17,41.426464915275574
2022-08-18,7.627519965069496
2022-08-19,1.3403427346929675
2022-08-20,0.0017046928064701206
2022-08-21,0.00044208587723915116
2022-08-22,-1.1920917586394353e-05
2022-08-23,0.000852346317969932
2022-08-24,0.0008523463748133508
2022-08-25,0.04439949988821468
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0004261732051702438
2022-08-29,0.000476837158203125
2022-08-30,12.077170610325538
2022-08-31,0.09253596313740786
